,e1-tracer.sch,"2020-08-15 16:57:55",,"EAGLE Version 7.7.0 Copyright (c) 1988-2016 CadSoft",,,,,,
Qty,Name,Value,Package,Class,Supplier,"Part Number",URL,Description,Populated,Beistellung
19,"C1, C2, C3, C4, C5, C6, C7, C11, C16, C17, C18, C19, C20, C21, C22, C23, C24, C29, C30",100n,_0603,CAPACITOR,DIGIKEY,1276-1005-1-ND,http://www.digikey.de/product-detail/de/foo/1276-1005-1-ND,"CAP CER 0.1UF 16V 10% X7R 0603",TRUE,
4,"C8, C9, C10, C12",1u,_0603,CAPACITOR,DIGIKEY,1276-1182-1-ND,https://www.digikey.de/product-detail/de/samsung-electro-mechanics/CL10A105KP8NNNC/1276-1182-1-ND/3889268,"CAP CER 1UF 10V X5R 0603",TRUE,
2,"C13, C15",22u,1206,CAPACITOR,DIGIKEY,1276-1287-1-ND,http://www.digikey.de/product-detail/de/foo/1276-1287-1-ND,"CAP CER 22UF 10V 10% X5R 1206",TRUE,
1,C14,10n,_0402,CAPACITOR,DIGIKEY,1276-1057-1-ND,https://www.digikey.de/product-detail/de/samsung-electro-mechanics/CL05B103KA5NNNC/1276-1057-1-ND/3889143,"CAP CER 10000PF 25V X7R 0402",TRUE,
4,"C25, C26, C27, C28",22u,_0805,CAPACITOR,DIGIKEY,399-4696-1-ND,https://www.digikey.de/product-detail/de/kemet/C0805C226M9PACTU/399-4696-1-ND,"CAP CER 22UF 6.3V X5R 0805",TRUE,
1,CDONE,BLUE,CHIPLED_0603,LED,DIGIKEY,160-1827-1-ND,https://www.digikey.de/product-detail/de/lite-on-inc/LTST-C193TBKT-5A/160-1827-1-ND,"LED BLUE CLEAR CHIP SMD",TRUE,
1,LED1,,RGBLED_PLCC4,LED,DIGIKEY,365-1561-2-ND,https://www.digikey.de/product-detail/de/tt-electronics-optek-technology/OVSARGB4R8/365-1561-2-ND,"LED RGB DIFFUSED 4PLCC SMD",TRUE,
2,"LOS1, LOS2",LEDPLCC2-MIN-red,PLCC2-MIN,LED,DIGIKEY,475-2683-1-ND,https://www.digikey.de/product-detail/de/osram-opto-semiconductors-inc/LS-T676-R1S1-1-Z/475-2683-1-ND,"LED RED CLEAR 2PLCC SMD",TRUE,
1,PWR,LEDPLCC2-MIN-green,PLCC2-MIN,LED,DIGIKEY,511-1645-1-ND,https://www.digikey.de/product-detail/de/rohm-semiconductor/SML-Z14PTT86A/511-1645-1-ND,"LED GREEN CLEAR 2PLCC SMD",TRUE,
