BOM line,References,Quantity,Description,Value,Footprint,Manufacturer,MPN,Supplier,Supplier Reference
1,C1 C2 C3 C4 C6 C7 C8 C9 C12 C13 C14 C15 C16 C17 C18 C19 C20 C22 C23 C25 C33 C34 C35 C36 C37 C38 C39,27,MLCC Capacitor X7R/X5R >25V,100n,SMD_0603,Murata,GRM188R71H104KA93D,LCSC,C77055
2,C5 C10 C11 C24 C26 C27 C28 C29 C30 C31 C32,11,MLCC Capacitor X7R/X5R >25V,1u,SMD_0603,Murata,GRM188R61H105KAALD,LCSC,C77386
3,R5 R7 R10 R11,4,SMD Resistor 0603 1% 0.0625W,1k5,SMD_0603,Uniroyal Elec,0603WAF1501T5E,LCSC,C22843
4,R4 R15 R26,3,SMD Resistor 0603 1% 0.0625W,120R,SMD_0603,Uniroyal Elec,0603WAF1200T5E,LCSC,C22787
5,R2 R3 R6 R8 R13 R14 R24 R25,8,SMD Resistor 0603 1% 0.0625W,5k1,SMD_0603,Uniroyal Elec,0603WAF5101T5E,LCSC,C23186
6,R20 R22,2,SMD Resistor 0603 1% 0.0625W,0R,SMD_0603,Uniroyal Elec,0603WAF0000T5E,LCSC,C21189
7,R12 R16 R17 R27 R28,5,SMD Resistor 0603 1% 0.0625W,27R,SMD_0603,Uniroyal Elec,0603WAF270JT5E,LCSC,C25190
8,R1 R9,2,SMD Resistor 0603 1% 0.0625W,91k,SMD_0603,Uniroyal Elec,0603WAF9102T5E,LCSC,C23265
9,RN1 RN2 RN3 RN6,4,SMD Resistor Pack 4x0603 = 1206 5% 0.0625W,33R,SMD_4x0603_1206,Uniroyal Elec,4D03WGF330JT5E,LCSC,C425214
10,RN4 RN5 RN7 RN8,4,SMD Resistor Pack 4x0603 = 1206 5% 0.0625W,10k,SMD_4x0603_1206,Uniroyal Elec,4D03WGF1002T5E,LCSC,C109324
11,L1,1,SMD RF inductor wirewound,47n,SMD_0402,Murata,LQW15AN47NG00D,LCSC,C22334
12,D1,1,RGB LED,,LED_2020,Foshan NationStar Optoelectronics,FM-B2020RGBA-HG,LCSC,C108793
13,D2,1,Blue LED (high efficiency),Blue,SMD_0603,Foshan NationStar Optoelectronics,NCD0603B1,LCSC,C84266
14,D3,1,RF ESD protection 0402,PESD0402-140,SMD_0402,LittleFuse,PESD0402-140,LCSC,C10662
15,F2 F3 F4 F1 F6 F7 F8 F5,8,Polyfuse PTC 300mA 0603,300mA,SMD_0603,LittleFuse,0603L010,LCSC,C207010
16,J1 J2 J3 J4 J5,5,"Pin Header Male Pin 2.54mm, 2x4 contacts",,2x4 pin header,MINTRON,MTP125-1204S1,LCSC,C358693
17,SW1,1,Push button (side),,,HYP (Hongyuan Precision),1TS003B-1600-3500A-CT,LCSC,C255808
18,TR1 TR2,2,Pulse transformer for E1 applications,T1094NL,,Pulse Electronics Network,T1094NL,Digikey,553-1449-ND
19,U1,1,FPGA,ICE40UP5K-SG48,QFN 48,Lattice,ICE40UP5K-SG48,Digikey,220-2212-1-ND
20,U3,1,Shift register,74HC595,TSSOP-16,Nexperia,"74HC595PW,118",LCSC,C5948
21,U4,1,VCXO 30.72 MHz,30.72 MHz,7mm x 5mm,SiTime,SIT3808AI-D2-33EE-30.720000T,Digikey,1473-SIT3808AI-D2-33EE-30.720000T-ND
,,,,,,Taitien,VTEUALJANF-30.720000,Digikey,1664-1336-1-ND
22,U5,1,SPI Flash,SPI_FLASH_8P,SOIC-8 150mil,Winbond,W25Q80DVSNIG,LCSC,C401655
23,U8,1,GPS Module,,,ZHONGKEWEI,ATGM336H-5N31,LCSC,C90770
,,,,,,ublox,MAX-M8W,Digikey,672-MAX-M8W-0-10CT-ND
24,U9,1,LDO 1.2v with enable,MIC5504-1.2YM5,SOT-23-5,Microchip,MIC5504-1.2YM5-TR,Digikey,576-4878-1-ND
25,U10,1,LDO 3.3v with enable,MIC5504-3.3YM5,SOT-23-5,Microchip,MIC5504-3.3YM5-TR,LCSC,C88419
26,U2 U6 U7 U11 U12,5,ESD protection,IP4220CZ6,TSOP-6,Nexperia,"IP4220CZ6,125",LCSC,C282546
27,X1,1,SMA right angle connector,,,Shenzhen Kinghelm Elec,KH-SMA-KWE17-G,LCSC,C530662
,,,,,,TE Connectivity,619540-1,Mouser,571-619540-1
28,X2,1,"2.5mm jack SMD connector, 3 contacts",,,CUI,SJ-2523-SMT-TR,Digikey,CP-2523SJCT-ND
29,X3,1,RJ45 connector,,,CONNFLY Elec,DS1128-06-S8B0P-X,LCSC,C86575
,,,,,,Amphenol ICC,RJHSE-5080,Digikey,RJHSE-5080-ND
30,X4,1,USB Type C socket,,,Korean Hroparts Elec,TYPE-C-31-M-12,LCSC,C165948
31,X5,1,Dual RJ45 connector with leds,,,CONNFLY Elec,DS1129-04-S8B0P-X,LCSC,C86581
,,,,,,Amphenol ICC,RJHSE-5081-02,Digikey,RJHSE508102-ND
32,LP1,1,Light pipe,,,Lumex,LPF-C011303S,Digikey,67-2200-ND
33,n/a,8,Pin header jumper,,,Boom Precision Elec,n/a,LCSC,C5305
